,Brand,Category,Gender,Name,Image URL,Price
0,Ralph_Lauren,Polos,Men,Custom Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20201130/093C119C5E91216327EE100B96470405.png?x-oss-process=image/resize,m_fill,h_492,w_392",1190
1,Ralph_Lauren,Polos,Men,Custom Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20201027/BE73C79B960F9A18FB31958CD0C360AB.png?x-oss-process=image/resize,m_fill,h_492,w_392",1190
2,Ralph_Lauren,Polos,Men,Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210106/6F6880974E2EC32454DB00863A7E7F81.png?x-oss-process=image/resize,m_fill,h_492,w_392",1190
3,Ralph_Lauren,Polos,Men,The Iconic Rugby Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210118/797F66ADCE7B2C3B34DBF81810E56581.png?x-oss-process=image/resize,m_fill,h_492,w_392",1290
4,Ralph_Lauren,Polos,Men,Custom Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210126/51EDCA7F4FAD47FA9CE5C9CB3DAE463F.png?x-oss-process=image/resize,m_fill,h_492,w_392",1190
5,Ralph_Lauren,Polos,Men,Custom Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210118/63C16DC09CEBA95EB11F06407049AAF0.png?x-oss-process=image/resize,m_fill,h_492,w_392",1390
6,Ralph_Lauren,Polos,Men,The Earth Polo,"https://uxawscdn.baozun.com/aws/96001096/20210413/B125250BC71FA3EB783A49661FD23BEA.png?x-oss-process=image/resize,m_fill,h_492,w_392",1690
7,Ralph_Lauren,Polos,Men,The Earth Polo,"https://uxawscdn.baozun.com/aws/96001096/20210413/720363AE6A4BFCAD5D254C97E475F159.png?x-oss-process=image/resize,m_fill,h_492,w_392",1690
8,Ralph_Lauren,Polos,Men,Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210316/9640403F7A398E90B516F79B02965475_1.png?x-oss-process=image/resize,m_pad,h_492,w_392",1190
9,Ralph_Lauren,Polos,Men,Custom Slim Fit Stretch Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210219/41E2A3E7BBF74500C31F05C8FFD59A94.png?x-oss-process=image/resize,m_fill,h_492,w_392",1390
10,Ralph_Lauren,Polos,Men,Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210106/0CE7A2B920D462905AB90BC845255215_1.png?x-oss-process=image/resize,m_pad,h_492,w_392",1190
11,Ralph_Lauren,Polos,Men,Custom Slim Fit Mesh Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20201221/5314A44D459D1F60B33A4E10A3A9B349.png?x-oss-process=image/resize,m_fill,h_492,w_392",1190
12,Ralph_Lauren,Polos,Men,Custom Slim Fit Polo Bear Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210208/1A053825AA32D3D690222199681815CE.png?x-oss-process=image/resize,m_fill,h_492,w_392",1590
13,Ralph_Lauren,Polos,Men,Custom Slim Fit Polo Bear Polo Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210126/D60DDD62408D17EF9EDC73B0563F41A5.png?x-oss-process=image/resize,m_fill,h_492,w_392",1390
14,Ralph_Lauren,Polos,Men,The Iconic Rugby Shirt,"https://uxawscdn.baozun.com/aws/96001096/20210126/300762A8AC0C265AFCD554A24A14A6AB.png?x-oss-process=image/resize,m_fill,h_492,w_392",1290
