User_ID,ID,Brand,Category,Gender,Name,Image URL,Price,Customer_Cluster,Shop_Cluster
1,33.0,Adidas,Jackets & Coats,Mens,CNY JACKET,http://img.adidas.com.hk/resources/2020/12/29/16091826316577278_230X230.jpg,999,3,1
1,36.0,Adidas,Jumpers,Mens,ESSENTIALS EMBROIDERED SMALL LOGO SWEATSHIRT,http://img.adidas.com.hk/resources/2020/12/28/16091596990364780_230X230.jpg,299,3,1
1,35.0,Adidas,Polos,Mens,ADIPURE PREMIUM ENGINEERED POLO SHIRT,http://img.adidas.com.hk/resources/2020/8/27/15985286941356751_230X230.jpg,780,3,1
1,55.0,Adidas,Shorts,Mens,MANCHESTER UNITED 20/21 AWAY SHORTS,http://img.adidas.com.hk/resources/2020/8/14/1597372783142684_230X230.jpg,369,3,1
1,53.0,Adidas,T-Shirts,Mens,GERMANY HOME JERSEY,http://img.adidas.com.hk/resources/2019/10/29/15723220383129290_230X230.jpg,599,3,1
1,21.0,CalvinKleinMen,Jackets & Coats,Mens,logo grid anorak ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw3f65b7a8/images/hi-res/J316840-BAE/J316840-BAE-ITEM-1.jpg?sw=730,995,3,1
1,12.0,CalvinKleinMen,Jeans,Mens,ckj 017 freecross body skinny jeans ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw1adbbb95/images/hi-res/J317908-1BJ/J317908-1BJ-ITEM-1.jpg?sw=730,,3,1
1,18.0,CalvinKleinMen,Jumpers,Mens,ck badge organic cotton sweatshirt ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dwead707b5/images/hi-res/J318043-BEH/J318043-BEH-ITEM-1.jpg?sw=730,790,3,1
1,27.0,CalvinKleinMen,T-Shirts,Mens,institutional logo slim tee ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw42cadd0e/images/hi-res/J318045-CJS/J318045-CJS-ITEM-1.jpg?sw=730,390,3,1
1,4.0,CalvinKleinMen,T-Shirts,Mens,tonal embroidered logo tee ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw2bc5b09d/images/hi-res/J317686-BEH/J317686-BEH-ITEM-1.jpg?sw=730,750,3,1
1,14.0,CalvinKleinMen,T-Shirts,Mens,institutional logo slim tee ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw225b4615/images/hi-res/J318045-BEH/J318045-BEH-ITEM-1.jpg?sw=730,390,3,1
1,7.0,CalvinKleinPerformance,Jackets & Coats,Mens,padded jacket with detachable hood ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw4c2b1e17/images/hi-res/4MF0O585-649/4MF0O585-649-ITEM-1.jpg?sw=730,895,3,1
1,11.0,CalvinKleinPerformance,Jumpers,Mens,organic motion logo hoodie ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw8877fec9/images/hi-res/4MF0W301-007/4MF0W301-007-ITEM-1.jpg?sw=730,445,3,1
1,11.0,CalvinKleinPerformance,Shorts,Mens,summer active tropical pocket shorts ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw867fcdd9/images/hi-res/4MT1S841-007/4MT1S841-007-ITEM-1.jpg?sw=730,690,3,1
1,18.0,CalvinKleinPerformance,T-Shirts,Mens,valentine capsule polo shirt ,https://images.demandware.net/dw/image/v2/ABAD_PRD/on/demandware.static/-/Sites-calvinklein-hk-master/default/dw28add492/images/hi-res/4MS1K144-007/4MS1K144-007-ITEM-1.jpg?sw=730,690,3,1
1,1.0,Muji,Jackets & Coats,Mens,Men's Water Repellent Nylon 6 Pocket Jacket,http://img.muji.net/img/item/4550182374490_180.jpg,,3,1
1,2.0,Muji,Jumpers,Mens,Men's Texture Weave Crew Neck Sweater,http://img.muji.net/img/item/4550182715385_180.jpg,,3,1
1,23.0,Nike,Jackets & Coats,Mens,Knit MA-1 Bomber Jacket,https://static.nike.com.hk/resources/product/CZ4705-382/CZ4705-382_M1.png,,3,1
1,30.0,Nike,Jumpers,Mens,Washed Men's Fleece Crew Sweatshirt,https://static.nike.com.hk/resources/product/DD0849-229/DD0849-229_M1.png,799,3,1
1,18.0,Nike,Shorts,Mens,Men's Shorts,https://static.nike.com.hk/resources/product/CZ2234-072/CZ2234-072_M1.png,349,3,1
1,30.0,Nike,T-Shirts,Mens,Men's Short-Sleeve T-Shirt,https://static.nike.com.hk/resources/product/DJ5362-100/DJ5362-100_M1.png,259,3,1
1,33.0,Nike,T-Shirts,Mens,Men's Short-Sleeve Top,https://static.nike.com.hk/resources/product/BV5632-452/BV5632-452_M1.png,199,3,1
1,35.0,Fred Perry,Polos,Mens,Poloshirt mit Space-Dye-Effekt,https://d30l99xc13l2t1.cloudfront.net/media/catalog/product/cache/17567140ead454bbe876536d3c5827f5/M/1/M1805_102_1.JPG,£70,3,1
1,80.0,Saint Laurent,Jeans,Mens,army shirt in wool check,https://saint-laurent.dam.kering.com/m/77ea8f1a1cf658a0/Thumbnail-637169Y00JA9704_A.jpg?v=2,5990,3,1
1,2157.0,Saint Laurent,T-Shirts,Mens,"""tout terriblement"" t-shirt",https://saint-laurent.dam.kering.com/m/64ed78bf00ba6047/Thumbnail-646371Y36AL9766_A.jpg?v=2,2890,3,1
1,2.0,Uniqlo,Jackets & Coats,Mens,POCKETABLE UV PROTECTION ANORAK PARKA 435624,https://www.uniqlo.com.hk/hmall/test/u0000000014017/main/first/561/1.jpg,19900,3,1
1,86.0,Uniqlo,Jeans,Mens,STRETCH SELVEDGE SLIM FIT JEANS 436581,https://www.uniqlo.com.hk/hmall/test/u0000000015575/main/first/561/1.jpg,29900,3,1
1,197.0,Uniqlo,Polos,Mens,DRY-EX POLO SHIRT(KEI NISHIKORI) 427074,https://www.uniqlo.com.hk/hmall/test/u0000000015572/main/first/561/1.jpg,14900,3,1
1,182.0,Uniqlo,Polos,Mens,AIRism FULL OPEN POLO SHIRT 433039,https://www.uniqlo.com.hk/hmall/test/u0000000015508/main/first/561/1.jpg,14900,3,1
1,43.0,Uniqlo,Shorts,Mens,CHINO SHORTS (INSEAM 24-27.5CM) 425143,https://www.uniqlo.com.hk/hmall/test/u0000000009345/main/first/561/1.jpg,19900,3,1
1,172.0,Uniqlo,T-Shirts,Mens,+J SUPIMA COTTON SHORT SLEEVE PRINTED T-SHIRT 440441,https://www.uniqlo.com.hk/hmall/test/u0000000016011/main/first/561/1.jpg,14900,3,1
1,,Ralph_Lauren,Jeans,Mens,Varick Slim Straight Jean,"https://uxawscdn.baozun.com/aws/96001096/20210202/8AEE4D7F4F239C47E7E70440F912E269.png?x-oss-process=image/resize,m_fill,h_492,w_392",1690,3,1
